,index,SPX,TradeDate,SPY
138,138,1093.67,2010-07-22,109.461
139,139,1102.66,2010-07-23,110.41
140,140,1115.01,2010-07-26,111.56
141,141,1113.84,2010-07-27,111.55
142,142,1106.13,2010-07-28,110.83
143,143,1101.53,2010-07-29,110.29
144,144,1101.6,2010-07-30,110.27
145,145,1125.86,2010-08-02,112.76
146,146,1120.46,2010-08-03,112.22
147,147,1127.24,2010-08-04,112.97
148,148,1125.81,2010-08-05,112.85
149,149,1121.64,2010-08-06,112.39200000000001
150,150,1127.79,2010-08-09,112.992
151,151,1121.06,2010-08-10,112.375
152,152,1089.47,2010-08-11,109.3
153,153,1083.61,2010-08-12,108.63
154,154,1079.25,2010-08-13,108.31
155,155,1079.38,2010-08-16,108.26
156,156,1092.54,2010-08-17,109.59
157,157,1094.16,2010-08-18,109.79
158,158,1075.63,2010-08-19,107.88
159,159,1071.69,2010-08-20,107.53
160,160,1067.36,2010-08-23,107.1236
161,161,1051.87,2010-08-24,105.53
162,162,1055.33,2010-08-25,105.94
163,163,1047.22,2010-08-26,105.23
164,164,1064.59,2010-08-27,106.86
165,165,1048.92,2010-08-30,105.311
166,166,1049.33,2010-08-31,105.31
167,167,1080.29,2010-09-01,108.46
168,168,1090.1,2010-09-02,109.47
169,169,1104.51,2010-09-03,110.89
170,170,1091.84,2010-09-07,109.64
171,171,1098.87,2010-09-08,110.41
172,172,1104.18,2010-09-09,110.91999799999999
173,173,1109.55,2010-09-10,111.48200000000001
174,174,1121.9,2010-09-13,112.72
175,175,1121.1,2010-09-14,112.65
176,176,1125.07,2010-09-15,113.08
177,177,1124.66,2010-09-16,113.05
178,178,1125.59,2010-09-17,112.49
179,179,1142.71,2010-09-20,114.21
180,180,1139.78,2010-09-21,113.98
181,181,1134.28,2010-09-22,113.42
182,182,1124.83,2010-09-23,112.49799999999999
183,183,1148.67,2010-09-24,114.82
184,184,1142.16,2010-09-27,114.27
185,185,1147.7,2010-09-28,114.67
186,186,1144.73,2010-09-29,114.47
187,187,1141.2,2010-09-30,114.13
188,188,1146.24,2010-10-01,114.61
189,189,1137.03,2010-10-04,113.75
190,190,1160.75,2010-10-05,116.04
191,191,1159.97,2010-10-06,116.03
192,192,1158.06,2010-10-07,115.89
193,193,1165.15,2010-10-08,116.5375
194,194,1165.32,2010-10-11,116.65
195,195,1169.77,2010-10-12,117.01
196,196,1178.1,2010-10-13,117.92
197,197,1173.81,2010-10-14,117.46
198,198,1176.19,2010-10-15,117.7
199,199,1184.71,2010-10-18,118.28
