,index,SPX,TradeDate,SPY
690,690,1447.15,2012-09-27,144.64
691,691,1440.67,2012-09-28,143.97
692,692,1444.49,2012-10-01,144.345
693,693,1445.75,2012-10-02,144.5
694,694,1450.99,2012-10-03,145.09
695,695,1461.4,2012-10-04,146.125
696,696,1460.93,2012-10-05,146.14
697,697,1455.88,2012-10-08,145.642
698,698,1441.48,2012-10-09,144.2
699,699,1432.56,2012-10-10,143.28
700,700,1432.84,2012-10-11,143.36
701,701,1428.59,2012-10-12,142.89
702,702,1440.13,2012-10-15,144.08
703,703,1454.92,2012-10-16,145.54
704,704,1460.91,2012-10-17,146.2
705,705,1457.34,2012-10-18,145.82
706,706,1433.19,2012-10-19,143.3896
707,707,1433.82,2012-10-22,143.41
708,708,1413.11,2012-10-23,141.42
709,709,1408.75,2012-10-24,141.02
710,710,1412.97,2012-10-25,141.43
711,711,1411.94,2012-10-26,141.35
712,712,1412.16,2012-10-31,141.35
713,713,1427.59,2012-11-01,142.83
714,714,1414.2,2012-11-02,141.56
715,715,1417.26,2012-11-05,141.8486
716,716,1428.39,2012-11-06,142.96
717,717,1394.53,2012-11-07,139.72
718,718,1377.51,2012-11-08,138.04
719,719,1379.85,2012-11-09,138.16
720,720,1380.03,2012-11-12,138.265
721,721,1374.53,2012-11-13,137.79
722,722,1355.49,2012-11-14,135.9299
723,723,1353.33,2012-11-15,135.7
724,724,1359.88,2012-11-16,136.37
725,725,1386.89,2012-11-19,139.13
726,726,1387.81,2012-11-20,139.19
727,727,1391.03,2012-11-21,139.45
728,728,1409.15,2012-11-23,141.35
729,729,1406.29,2012-11-26,141.05
730,730,1398.94,2012-11-27,140.33
731,731,1409.93,2012-11-28,141.46
732,732,1415.95,2012-11-29,142.12
733,733,1416.18,2012-11-30,142.155
734,734,1409.46,2012-12-03,141.45
735,735,1407.05,2012-12-04,141.25
736,736,1409.28,2012-12-05,141.5
737,737,1413.94,2012-12-06,141.98
738,738,1418.07,2012-12-07,142.415
739,739,1418.55,2012-12-10,142.47299999999998
740,740,1427.84,2012-12-11,143.44
741,741,1428.48,2012-12-12,143.51
742,742,1419.45,2012-12-13,142.63
743,743,1413.58,2012-12-14,142.1051
744,744,1430.36,2012-12-17,143.77
745,745,1446.79,2012-12-18,145.37
746,746,1435.81,2012-12-19,144.29
747,747,1443.69,2012-12-20,145.12
748,748,1430.15,2012-12-21,142.79
749,749,1426.66,2012-12-24,142.35
750,750,1419.83,2012-12-26,141.75
751,751,1418.1,2012-12-27,141.5616
752,752,1402.43,2012-12-28,140.03
753,753,1426.19,2012-12-31,142.41
754,754,1462.42,2013-01-02,146.06
755,755,1459.37,2013-01-03,145.7341
756,756,1466.47,2013-01-04,146.37
757,757,1461.89,2013-01-07,145.9695
758,758,1457.15,2013-01-08,145.5496
759,759,1461.02,2013-01-09,145.92
760,760,1472.12,2013-01-10,147.08
761,761,1472.05,2013-01-11,147.07
762,762,1470.68,2013-01-14,146.97
763,763,1472.34,2013-01-15,147.07
764,764,1472.63,2013-01-16,147.05
765,765,1480.94,2013-01-17,148.0
766,766,1485.98,2013-01-18,148.33
767,767,1492.56,2013-01-22,149.13
768,768,1494.81,2013-01-23,149.37
769,769,1494.82,2013-01-24,149.41
770,770,1502.96,2013-01-25,150.25
771,771,1500.18,2013-01-28,150.07
772,772,1507.84,2013-01-29,150.66
773,773,1501.96,2013-01-30,150.07
774,774,1498.11,2013-01-31,149.7
775,775,1513.17,2013-02-01,151.24
776,776,1495.71,2013-02-04,149.535
777,777,1511.29,2013-02-05,151.05
778,778,1512.12,2013-02-06,151.16
779,779,1509.39,2013-02-07,150.96
780,780,1517.93,2013-02-08,151.8
781,781,1517.01,2013-02-11,151.77
782,782,1519.43,2013-02-12,152.02
783,783,1520.33,2013-02-13,152.151
784,784,1521.38,2013-02-14,152.29
785,785,1519.79,2013-02-15,152.11
786,786,1530.94,2013-02-19,153.25
787,787,1511.95,2013-02-20,151.34
788,788,1502.42,2013-02-21,150.42
789,789,1515.6,2013-02-22,151.89
790,790,1487.85,2013-02-25,149.0
791,791,1496.94,2013-02-26,150.02
792,792,1515.99,2013-02-27,151.91
793,793,1514.68,2013-02-28,151.61
794,794,1518.2,2013-03-01,152.11
795,795,1525.2,2013-03-04,152.92
796,796,1539.79,2013-03-05,154.29
797,797,1541.46,2013-03-06,154.5
798,798,1544.26,2013-03-07,154.776
799,799,1551.18,2013-03-08,155.44
800,800,1556.22,2013-03-11,156.03
801,801,1552.48,2013-03-12,155.68
802,802,1554.52,2013-03-13,155.905
803,803,1563.23,2013-03-14,156.73
804,804,1560.7,2013-03-15,155.83
805,805,1552.1,2013-03-18,154.97
806,806,1548.34,2013-03-19,154.61
807,807,1558.71,2013-03-20,155.69
808,808,1545.8,2013-03-21,154.359
809,809,1556.89,2013-03-22,155.6
810,810,1551.69,2013-03-25,154.95
811,811,1563.77,2013-03-26,156.19
812,812,1562.85,2013-03-27,156.19
813,813,1569.19,2013-03-28,156.67
814,814,1562.17,2013-04-01,156.05
815,815,1570.25,2013-04-02,156.82
816,816,1553.69,2013-04-03,155.23
817,817,1559.98,2013-04-04,155.86
818,818,1553.28,2013-04-05,155.158
819,819,1563.07,2013-04-08,156.21
820,820,1568.61,2013-04-09,156.75
821,821,1587.73,2013-04-10,158.67
822,822,1593.37,2013-04-11,159.19
823,823,1588.85,2013-04-12,158.8
824,824,1552.36,2013-04-15,155.118
825,825,1574.57,2013-04-16,157.41
826,826,1552.01,2013-04-17,155.11
827,827,1541.61,2013-04-18,154.14
828,828,1555.25,2013-04-19,155.48
829,829,1562.5,2013-04-22,156.17
830,830,1578.78,2013-04-23,157.78
831,831,1578.79,2013-04-24,157.88
832,832,1585.16,2013-04-25,158.52
833,833,1582.24,2013-04-26,158.24
834,834,1593.61,2013-04-29,159.3
835,835,1597.57,2013-04-30,159.68
836,836,1582.7,2013-05-01,158.28
837,837,1597.59,2013-05-02,159.75
838,838,1614.42,2013-05-03,161.368
839,839,1617.5,2013-05-06,161.78
840,840,1625.96,2013-05-07,162.5999
841,841,1632.69,2013-05-08,163.34
842,842,1626.67,2013-05-09,162.881
843,843,1633.7,2013-05-10,163.41
844,844,1633.77,2013-05-13,163.54
845,845,1650.34,2013-05-14,165.23
846,846,1658.78,2013-05-15,166.115
847,847,1650.47,2013-05-16,165.34
848,848,1667.47,2013-05-17,166.94
849,849,1666.29,2013-05-20,166.93
850,850,1669.16,2013-05-21,167.17
851,851,1655.35,2013-05-22,165.93
852,852,1650.51,2013-05-23,165.45
853,853,1649.6,2013-05-24,165.308
854,854,1660.06,2013-05-28,166.3
855,855,1648.36,2013-05-29,165.22
856,856,1654.41,2013-05-30,165.83
857,857,1630.74,2013-05-31,163.445
858,858,1640.42,2013-06-03,164.35
859,859,1631.38,2013-06-04,163.56
860,860,1608.9,2013-06-05,161.27200000000002
861,861,1622.56,2013-06-06,162.73
862,862,1643.38,2013-06-07,164.8
863,863,1642.81,2013-06-10,164.8
864,864,1626.13,2013-06-11,163.09799999999998
865,865,1612.52,2013-06-12,161.75
866,866,1636.36,2013-06-13,164.21
867,867,1626.73,2013-06-14,163.175
868,868,1639.04,2013-06-17,164.44
869,869,1651.81,2013-06-18,165.735
870,870,1628.93,2013-06-19,163.45
871,871,1588.19,2013-06-20,159.4
872,872,1592.43,2013-06-21,159.07
873,873,1573.09,2013-06-24,157.06
874,874,1588.03,2013-06-25,158.575
875,875,1603.26,2013-06-26,160.14
876,876,1613.2,2013-06-27,161.08
877,877,1606.28,2013-06-28,160.42
878,878,1614.96,2013-07-01,161.36
879,879,1614.08,2013-07-02,161.21
880,880,1615.41,2013-07-03,161.28
881,881,1631.89,2013-07-05,163.02
882,882,1640.46,2013-07-08,163.945
883,883,1652.32,2013-07-09,165.13
884,884,1652.62,2013-07-10,165.192
885,885,1675.02,2013-07-11,167.44
886,886,1680.19,2013-07-12,167.51
887,887,1682.5,2013-07-15,168.155
888,888,1676.26,2013-07-16,167.525
889,889,1680.91,2013-07-17,167.9501
890,890,1689.37,2013-07-18,168.87
891,891,1692.09,2013-07-19,169.17
892,892,1695.53,2013-07-22,169.5
893,893,1692.39,2013-07-23,169.14
894,894,1685.94,2013-07-24,168.52
895,895,1690.25,2013-07-25,168.93
896,896,1691.65,2013-07-26,169.11
897,897,1685.33,2013-07-29,168.59
898,898,1685.96,2013-07-30,168.588
899,899,1685.73,2013-07-31,168.71
900,900,1706.87,2013-08-01,170.66
901,901,1709.67,2013-08-02,170.95
902,902,1707.14,2013-08-05,170.7
903,903,1697.37,2013-08-06,169.73
904,904,1690.91,2013-08-07,169.18
905,905,1697.48,2013-08-08,169.8
906,906,1691.42,2013-08-09,169.31
907,907,1689.47,2013-08-12,169.111
908,908,1694.16,2013-08-13,169.61
909,909,1685.39,2013-08-14,168.74
910,910,1661.32,2013-08-15,166.38
911,911,1655.83,2013-08-16,165.83
912,912,1646.06,2013-08-19,164.77
913,913,1652.35,2013-08-20,165.58
914,914,1642.8,2013-08-21,164.56
915,915,1656.96,2013-08-22,166.06
916,916,1663.5,2013-08-23,166.62
917,917,1656.78,2013-08-26,166.0
918,918,1630.48,2013-08-27,163.33
919,919,1634.96,2013-08-28,163.91
920,920,1638.17,2013-08-29,164.17
921,921,1632.97,2013-08-30,163.65
922,922,1639.77,2013-09-03,164.39
923,923,1653.08,2013-09-04,165.75
924,924,1655.08,2013-09-05,165.96
925,925,1655.17,2013-09-06,166.04
926,926,1671.71,2013-09-09,167.63400000000001
927,927,1683.99,2013-09-10,168.87
928,928,1689.13,2013-09-11,169.4
929,929,1683.42,2013-09-12,168.95
930,930,1687.99,2013-09-13,169.33
931,931,1697.6,2013-09-16,170.31
932,932,1704.76,2013-09-17,171.07
933,933,1725.52,2013-09-18,173.051
934,934,1722.34,2013-09-19,172.76
935,935,1709.91,2013-09-20,170.72
936,936,1701.84,2013-09-23,169.93
937,937,1697.42,2013-09-24,169.53
938,938,1692.77,2013-09-25,169.04
939,939,1698.67,2013-09-26,169.69
940,940,1691.75,2013-09-27,168.90900000000002
941,941,1681.55,2013-09-30,168.01
942,942,1695.0,2013-10-01,169.34
943,943,1693.87,2013-10-02,169.18
944,944,1678.66,2013-10-03,167.62
945,945,1690.5,2013-10-04,168.89
946,946,1676.12,2013-10-07,167.43
947,947,1655.45,2013-10-08,165.48
948,948,1656.4,2013-10-09,165.6
949,949,1692.56,2013-10-10,169.17
950,950,1703.2,2013-10-11,170.26
951,951,1710.14,2013-10-14,170.94
952,952,1698.06,2013-10-15,169.7
953,953,1721.54,2013-10-16,172.07
954,954,1733.15,2013-10-17,173.22
955,955,1744.5,2013-10-18,174.388
956,956,1744.66,2013-10-21,174.4
957,957,1754.67,2013-10-22,175.41
958,958,1746.38,2013-10-23,174.57
959,959,1752.07,2013-10-24,175.15
960,960,1759.77,2013-10-25,175.95
961,961,1762.11,2013-10-28,176.23
962,962,1771.95,2013-10-29,177.17
963,963,1763.31,2013-10-30,176.29
964,964,1756.54,2013-10-31,175.79
965,965,1761.64,2013-11-01,176.21
966,966,1767.93,2013-11-04,176.83
967,967,1762.97,2013-11-05,176.27
968,968,1770.49,2013-11-06,177.17
969,969,1747.15,2013-11-07,174.93
970,970,1770.61,2013-11-08,177.29
971,971,1771.89,2013-11-11,177.32
972,972,1767.69,2013-11-12,176.96
973,973,1782.0,2013-11-13,178.38
974,974,1790.62,2013-11-14,179.27
975,975,1798.18,2013-11-15,180.05
976,976,1791.53,2013-11-18,179.42
977,977,1787.87,2013-11-19,179.03
978,978,1781.37,2013-11-20,178.47
979,979,1795.85,2013-11-21,179.91
980,980,1804.76,2013-11-22,180.81
981,981,1802.48,2013-11-25,180.63
982,982,1802.75,2013-11-26,180.68
983,983,1807.23,2013-11-27,181.12
984,984,1805.81,2013-11-29,181.0
985,985,1800.9,2013-12-02,180.53
986,986,1795.15,2013-12-03,179.75
987,987,1792.81,2013-12-04,179.73
988,988,1785.03,2013-12-05,178.94
989,989,1805.09,2013-12-06,180.94
990,990,1808.37,2013-12-09,181.4
991,991,1802.62,2013-12-10,180.75
992,992,1782.22,2013-12-11,178.72
993,993,1775.5,2013-12-12,178.13
994,994,1775.32,2013-12-13,178.11
995,995,1786.54,2013-12-16,179.21599999999998
996,996,1781.0,2013-12-17,178.65
997,997,1810.65,2013-12-18,181.7
998,998,1809.6,2013-12-19,181.49
999,999,1818.32,2013-12-20,181.56
1000,1000,1827.99,2013-12-23,182.53
1001,1001,1833.32,2013-12-24,182.93
1002,1002,1842.02,2013-12-26,183.855
1003,1003,1841.4,2013-12-27,183.845
1004,1004,1841.07,2013-12-30,183.82
1005,1005,1848.36,2013-12-31,184.69
1006,1006,1831.98,2014-01-02,182.92
1007,1007,1831.37,2014-01-03,182.885
1008,1008,1826.77,2014-01-06,182.36
1009,1009,1837.88,2014-01-07,183.48
1010,1010,1837.49,2014-01-08,183.52
1011,1011,1838.13,2014-01-09,183.64
1012,1012,1842.37,2014-01-10,184.14
1013,1013,1819.2,2014-01-13,181.685
1014,1014,1838.88,2014-01-14,183.67
1015,1015,1848.38,2014-01-15,184.66
1016,1016,1845.89,2014-01-16,184.42
1017,1017,1838.7,2014-01-17,183.635
1018,1018,1843.8,2014-01-21,184.18
1019,1019,1844.86,2014-01-22,184.3
1020,1020,1828.46,2014-01-23,182.79
1021,1021,1790.29,2014-01-24,178.89
1022,1022,1781.56,2014-01-27,178.01
1023,1023,1792.5,2014-01-28,179.07
1024,1024,1774.2,2014-01-29,177.35
1025,1025,1794.19,2014-01-30,179.23
1026,1026,1782.59,2014-01-31,178.18
1027,1027,1741.89,2014-02-03,174.17
1028,1028,1755.2,2014-02-04,175.385
1029,1029,1751.64,2014-02-05,175.17
1030,1030,1773.43,2014-02-06,177.48
1031,1031,1797.02,2014-02-07,179.68
1032,1032,1799.84,2014-02-10,180.01
1033,1033,1819.75,2014-02-11,181.98
1034,1034,1819.26,2014-02-12,182.07
1035,1035,1829.83,2014-02-13,183.01
1036,1036,1838.63,2014-02-14,184.02
1037,1037,1840.76,2014-02-18,184.24
1038,1038,1828.75,2014-02-19,183.02
1039,1039,1839.78,2014-02-20,184.1
1040,1040,1836.25,2014-02-21,183.89
1041,1041,1847.61,2014-02-24,184.91
1042,1042,1845.12,2014-02-25,184.84
1043,1043,1845.16,2014-02-26,184.85
1044,1044,1854.29,2014-02-27,185.82
1045,1045,1859.45,2014-02-28,186.29
1046,1046,1845.73,2014-03-03,184.98
1047,1047,1873.91,2014-03-04,187.58
1048,1048,1873.81,2014-03-05,187.75
1049,1049,1877.03,2014-03-06,188.18
1050,1050,1878.04,2014-03-07,188.26
1051,1051,1877.17,2014-03-10,188.16
1052,1052,1867.63,2014-03-11,187.23
1053,1053,1868.2,2014-03-12,187.28
1054,1054,1846.34,2014-03-13,185.18
1055,1055,1841.13,2014-03-14,184.66
1056,1056,1858.83,2014-03-17,186.33
1057,1057,1872.25,2014-03-18,187.66
1058,1058,1860.77,2014-03-19,186.66
1059,1059,1872.01,2014-03-20,187.747
1060,1060,1866.52,2014-03-21,186.2
1061,1061,1857.44,2014-03-24,185.43
1062,1062,1865.62,2014-03-25,186.31
1063,1063,1852.56,2014-03-26,184.97
1064,1064,1849.04,2014-03-27,184.58
1065,1065,1857.62,2014-03-28,185.49
1066,1066,1872.34,2014-03-31,187.01
1067,1067,1885.52,2014-04-01,188.25
1068,1068,1890.9,2014-04-02,188.88
1069,1069,1888.77,2014-04-03,188.63
1070,1070,1865.09,2014-04-04,186.4
1071,1071,1845.04,2014-04-07,184.34
1072,1072,1851.96,2014-04-08,185.1
1073,1073,1872.18,2014-04-09,187.09
1074,1074,1833.08,2014-04-10,183.155
1075,1075,1815.69,2014-04-11,181.51
1076,1076,1830.61,2014-04-14,182.9401
1077,1077,1842.98,2014-04-15,184.2
1078,1078,1862.31,2014-04-16,186.125
1079,1079,1864.85,2014-04-17,186.39
1080,1080,1871.89,2014-04-21,187.04
1081,1081,1879.55,2014-04-22,187.89
1082,1082,1875.39,2014-04-23,187.45
1083,1083,1878.61,2014-04-24,187.83
1084,1084,1863.4,2014-04-25,186.29
1085,1085,1869.43,2014-04-28,186.875
1086,1086,1878.33,2014-04-29,187.75
1087,1087,1883.95,2014-04-30,188.31
1088,1088,1883.68,2014-05-01,188.325
1089,1089,1881.14,2014-05-02,188.06
1090,1090,1884.66,2014-05-05,188.42
1091,1091,1867.72,2014-05-06,186.78
1092,1092,1878.21,2014-05-07,187.88
1093,1093,1875.63,2014-05-08,187.675
1094,1094,1878.48,2014-05-09,187.96
1095,1095,1896.65,2014-05-12,189.785
1096,1096,1897.45,2014-05-13,189.96
1097,1097,1888.53,2014-05-14,189.06
1098,1098,1870.85,2014-05-15,187.4
1099,1099,1877.86,2014-05-16,188.05
1100,1100,1885.08,2014-05-19,188.74
1101,1101,1872.83,2014-05-20,187.55
1102,1102,1888.03,2014-05-21,189.13
1103,1103,1892.49,2014-05-22,189.59
1104,1104,1900.53,2014-05-23,190.35
1105,1105,1911.91,2014-05-27,191.52
1106,1106,1909.78,2014-05-28,191.38
1107,1107,1920.03,2014-05-29,192.37
1108,1108,1923.57,2014-05-30,192.68
1109,1109,1924.97,2014-06-02,192.895
1110,1110,1924.24,2014-06-03,192.8
1111,1111,1927.88,2014-06-04,193.19
1112,1112,1940.46,2014-06-05,194.45
1113,1113,1949.44,2014-06-06,195.375
1114,1114,1951.27,2014-06-09,195.58
1115,1115,1950.79,2014-06-10,195.6
1116,1116,1943.89,2014-06-11,194.92
1117,1117,1930.11,2014-06-12,193.54
1118,1118,1936.16,2014-06-13,194.13
1119,1119,1937.78,2014-06-16,194.29
1120,1120,1941.99,2014-06-17,194.83
1121,1121,1956.98,2014-06-18,196.255
1122,1122,1959.48,2014-06-19,196.48
1123,1123,1962.87,2014-06-20,195.94
1124,1124,1962.61,2014-06-23,195.88
1125,1125,1949.98,2014-06-24,194.7
1126,1126,1959.53,2014-06-25,195.58
1127,1127,1957.22,2014-06-26,195.44
1128,1128,1960.96,2014-06-27,195.82
1129,1129,1960.23,2014-06-30,195.72
1130,1130,1973.32,2014-07-01,197.03
1131,1131,1974.62,2014-07-02,197.23
1132,1132,1985.44,2014-07-03,198.2
1133,1133,1977.65,2014-07-07,197.51
1134,1134,1963.71,2014-07-08,196.24
1135,1135,1972.83,2014-07-09,197.12
1136,1136,1964.68,2014-07-10,196.34
1137,1137,1967.57,2014-07-11,196.61
1138,1138,1977.1,2014-07-14,197.6
1139,1139,1973.28,2014-07-15,197.23
1140,1140,1981.57,2014-07-16,197.96
1141,1141,1958.12,2014-07-17,195.71
1142,1142,1978.22,2014-07-18,197.7099
1143,1143,1973.63,2014-07-21,197.34
1144,1144,1983.53,2014-07-22,198.2
1145,1145,1987.01,2014-07-23,198.64
1146,1146,1987.98,2014-07-24,198.65
1147,1147,1978.34,2014-07-25,197.72
1148,1148,1978.91,2014-07-28,197.8
1149,1149,1969.95,2014-07-29,196.95
1150,1150,1970.07,2014-07-30,196.98
1151,1151,1930.67,2014-07-31,193.09
1152,1152,1925.15,2014-08-01,192.5
1153,1153,1938.99,2014-08-04,193.89
1154,1154,1920.21,2014-08-05,192.01
1155,1155,1920.24,2014-08-06,192.07
1156,1156,1909.57,2014-08-07,191.03
1157,1157,1931.59,2014-08-08,193.24
1158,1158,1936.92,2014-08-11,193.795
1159,1159,1933.75,2014-08-12,193.53
1160,1160,1946.72,2014-08-13,194.84
1161,1161,1955.18,2014-08-14,195.76
1162,1162,1955.06,2014-08-15,195.72
1163,1163,1971.74,2014-08-18,197.36
1164,1164,1981.6,2014-08-19,198.39
1165,1165,1986.51,2014-08-20,198.92
1166,1166,1992.37,2014-08-21,199.5
1167,1167,1988.4,2014-08-22,199.19
1168,1168,1997.92,2014-08-25,200.2
1169,1169,2000.02,2014-08-26,200.33
1170,1170,2000.12,2014-08-27,200.25
1171,1171,1996.74,2014-08-28,200.14
1172,1172,2003.37,2014-08-29,200.71
1173,1173,2002.28,2014-09-02,200.61
1174,1174,2000.72,2014-09-03,200.5
1175,1175,1997.65,2014-09-04,200.2101
1176,1176,2007.71,2014-09-05,201.11
1177,1177,2001.54,2014-09-08,200.59
1178,1178,1988.44,2014-09-09,199.32
1179,1179,1995.69,2014-09-10,200.07
1180,1180,1997.45,2014-09-11,200.3
1181,1181,1985.54,2014-09-12,199.13
1182,1182,1984.13,2014-09-15,198.981
1183,1183,1998.98,2014-09-16,200.48
1184,1184,2001.57,2014-09-17,200.75
1185,1185,2011.36,2014-09-18,201.82
1186,1186,2010.4,2014-09-19,200.7
1187,1187,1994.29,2014-09-22,199.15
1188,1188,1982.77,2014-09-23,198.01
1189,1189,1998.3,2014-09-24,199.56
1190,1190,1965.99,2014-09-25,196.34
1191,1191,1982.85,2014-09-26,197.9
1192,1192,1977.8,2014-09-29,197.54
1193,1193,1972.29,2014-09-30,197.02
1194,1194,1946.16,2014-10-01,194.35
1195,1195,1946.17,2014-10-02,194.38
1196,1196,1967.9,2014-10-03,196.52
1197,1197,1964.82,2014-10-06,196.29
1198,1198,1935.1,2014-10-07,193.26
1199,1199,1968.89,2014-10-08,196.64
1200,1200,1928.21,2014-10-09,192.74
1201,1201,1906.13,2014-10-10,190.54
1202,1202,1874.74,2014-10-13,187.4099
1203,1203,1877.7,2014-10-14,187.7
1204,1204,1862.49,2014-10-15,186.43
1205,1205,1862.76,2014-10-16,186.27
1206,1206,1886.76,2014-10-17,188.47
1207,1207,1904.01,2014-10-20,190.3
1208,1208,1941.28,2014-10-21,194.07
1209,1209,1927.11,2014-10-22,192.69
1210,1210,1950.82,2014-10-23,194.93
1211,1211,1964.58,2014-10-24,196.43
1212,1212,1961.63,2014-10-27,196.16
1213,1213,1985.05,2014-10-28,198.41
1214,1214,1982.3,2014-10-29,198.11
1215,1215,1994.65,2014-10-30,199.38
1216,1216,2018.05,2014-10-31,201.66
1217,1217,2017.81,2014-11-03,201.77
1218,1218,2012.1,2014-11-04,201.07
1219,1219,2023.57,2014-11-05,202.34
1220,1220,2031.21,2014-11-06,203.15
1221,1221,2031.92,2014-11-07,203.34
1222,1222,2038.26,2014-11-10,203.98
1223,1223,2039.68,2014-11-11,204.175
1224,1224,2038.25,2014-11-12,203.96
1225,1225,2039.33,2014-11-13,204.19
1226,1226,2039.82,2014-11-14,204.24
1227,1227,2041.32,2014-11-17,204.37
1228,1228,2051.8,2014-11-18,205.55
1229,1229,2048.72,2014-11-19,205.22
1230,1230,2052.75,2014-11-20,205.58
1231,1231,2063.5,2014-11-21,206.68
1232,1232,2069.41,2014-11-24,207.26
1233,1233,2067.03,2014-11-25,207.11
1234,1234,2072.83,2014-11-26,207.64
1235,1235,2067.56,2014-11-28,207.2
1236,1236,2053.44,2014-12-01,205.76
1237,1237,2066.55,2014-12-02,207.085
1238,1238,2074.33,2014-12-03,207.89
1239,1239,2071.92,2014-12-04,207.66
1240,1240,2075.37,2014-12-05,208.0
1241,1241,2060.31,2014-12-08,206.61
1242,1242,2059.82,2014-12-09,206.47
1243,1243,2026.14,2014-12-10,203.1601
1244,1244,2035.33,2014-12-11,204.19
1245,1245,2002.33,2014-12-12,200.89
1246,1246,1989.63,2014-12-15,199.51
1247,1247,1972.74,2014-12-16,197.91
1248,1248,2012.89,2014-12-17,201.79
1249,1249,2061.23,2014-12-18,206.78
1250,1250,2070.65,2014-12-19,206.52
1251,1251,2078.54,2014-12-22,207.47
1252,1252,2082.17,2014-12-23,207.75
1253,1253,2081.88,2014-12-24,207.77
1254,1254,2088.77,2014-12-26,208.44
1255,1255,2090.57,2014-12-29,208.72
1256,1256,2080.35,2014-12-30,207.6
1257,1257,2058.9,2014-12-31,205.54
1258,1258,2058.2,2015-01-02,205.43
1259,1259,2020.58,2015-01-05,201.72
1260,1260,2002.61,2015-01-06,199.82
1261,1261,2025.9,2015-01-07,202.31
1262,1262,2062.14,2015-01-08,205.9
1263,1263,2044.81,2015-01-09,204.25
1264,1264,2028.26,2015-01-12,202.65
1265,1265,2023.03,2015-01-13,202.08
1266,1266,2011.27,2015-01-14,200.86
1267,1267,1992.67,2015-01-15,199.0199
1268,1268,2019.42,2015-01-16,201.63
1269,1269,2022.55,2015-01-20,202.055
1270,1270,2032.12,2015-01-21,203.08
1271,1271,2063.15,2015-01-22,206.1
1272,1272,2051.82,2015-01-23,204.97
1273,1273,2057.09,2015-01-26,205.45
1274,1274,2029.55,2015-01-27,202.74
1275,1275,2002.16,2015-01-28,200.14
1276,1276,2021.25,2015-01-29,201.9902
1277,1277,1994.99,2015-01-30,199.45
1278,1278,2020.85,2015-02-02,201.92
1279,1279,2050.03,2015-02-03,204.84
1280,1280,2041.51,2015-02-04,204.06
1281,1281,2062.52,2015-02-05,206.12
1282,1282,2055.47,2015-02-06,205.55
1283,1283,2046.74,2015-02-09,204.63
1284,1284,2068.59,2015-02-10,206.81
1285,1285,2068.53,2015-02-11,206.93
1286,1286,2088.48,2015-02-12,208.92
1287,1287,2096.99,2015-02-13,209.78
1288,1288,2100.34,2015-02-17,210.11
1289,1289,2099.68,2015-02-18,210.13
1290,1290,2097.45,2015-02-19,209.98
1291,1291,2110.3,2015-02-20,211.239
1292,1292,2109.66,2015-02-23,211.209
1293,1293,2115.48,2015-02-24,211.81
1294,1294,2113.86,2015-02-25,211.63
1295,1295,2110.74,2015-02-26,211.38
1296,1296,2104.5,2015-02-27,210.66
1297,1297,2117.39,2015-03-02,211.99
1298,1298,2107.78,2015-03-03,211.12
1299,1299,2098.53,2015-03-04,210.2301
1300,1300,2101.04,2015-03-05,210.46
1301,1301,2071.26,2015-03-06,207.5
1302,1302,2079.43,2015-03-09,208.36
1303,1303,2044.16,2015-03-10,204.98
1304,1304,2040.24,2015-03-11,204.5
1305,1305,2065.95,2015-03-12,207.1
1306,1306,2053.4,2015-03-13,205.8272
1307,1307,2081.19,2015-03-16,208.58
1308,1308,2074.28,2015-03-17,207.96
1309,1309,2099.5,2015-03-18,210.46
1310,1310,2089.27,2015-03-19,209.5
1311,1311,2108.1,2015-03-20,210.41
1312,1312,2104.42,2015-03-23,210.0
1313,1313,2091.5,2015-03-24,208.82
1314,1314,2061.05,2015-03-25,205.76
1315,1315,2056.15,2015-03-26,205.27
1316,1316,2061.02,2015-03-27,205.74
1317,1317,2086.24,2015-03-30,208.25
1318,1318,2067.89,2015-03-31,206.43
1319,1319,2059.69,2015-04-01,205.7
1320,1320,2066.96,2015-04-02,206.435
1321,1321,2080.62,2015-04-06,207.83
1322,1322,2076.33,2015-04-07,207.28
1323,1323,2081.9,2015-04-08,207.975
1324,1324,2091.18,2015-04-09,208.9
1325,1325,2102.06,2015-04-10,210.04
1326,1326,2092.43,2015-04-13,209.09
1327,1327,2095.84,2015-04-14,209.49
1328,1328,2106.63,2015-04-15,210.43
1329,1329,2104.99,2015-04-16,210.37
1330,1330,2081.18,2015-04-17,207.95
1331,1331,2100.4,2015-04-20,209.85
1332,1332,2097.29,2015-04-21,209.6
1333,1333,2107.96,2015-04-22,210.63
1334,1334,2112.93,2015-04-23,211.16
1335,1335,2117.69,2015-04-24,211.6499
1336,1336,2108.92,2015-04-27,210.77
1337,1337,2114.76,2015-04-28,211.44
1338,1338,2106.85,2015-04-29,210.57
1339,1339,2085.51,2015-04-30,208.46
1340,1340,2108.29,2015-05-01,210.72
1341,1341,2114.49,2015-05-04,211.32
1342,1342,2089.46,2015-05-05,208.9
1343,1343,2080.15,2015-05-06,208.04
1344,1344,2088.0,2015-05-07,208.87
1345,1345,2116.1,2015-05-08,211.62
1346,1346,2105.33,2015-05-11,210.605
1347,1347,2099.12,2015-05-12,209.98
1348,1348,2098.48,2015-05-13,210.02
1349,1349,2121.1,2015-05-14,212.21
1350,1350,2122.73,2015-05-15,212.44
