,TradeDate,expiryDate,c_p,strike,price
135,20200110,20200110,0,312.5,0.005
136,20200110,20200110,0,313.0,0.005
137,20200110,20200110,0,314.0,0.005
138,20200110,20200110,0,315.0,0.005
139,20200110,20200110,0,315.5,0.005
140,20200110,20200110,0,316.0,0.005
141,20200110,20200110,0,316.5,0.005
142,20200110,20200110,0,317.0,0.005
143,20200110,20200110,0,317.5,0.005
144,20200110,20200110,0,318.0,0.005
145,20200110,20200110,0,318.5,0.005
146,20200110,20200110,0,319.0,0.005
147,20200110,20200110,0,319.5,0.005
148,20200110,20200110,0,320.0,0.005
149,20200110,20200110,0,320.5,0.005
150,20200110,20200110,0,321.0,0.005
151,20200110,20200110,0,321.5,0.005
152,20200110,20200110,0,322.0,0.005
153,20200110,20200110,0,322.5,0.005
154,20200110,20200110,0,323.0,0.005
155,20200110,20200110,0,323.5,0.005
156,20200110,20200110,0,324.0,0.005
157,20200110,20200110,0,324.5,0.015
158,20200110,20200110,0,325.0,0.015
159,20200110,20200110,0,325.5,0.07500000000000001
160,20200110,20200110,0,326.0,0.355
161,20200110,20200110,0,326.5,0.815
162,20200110,20200110,0,327.0,1.31
163,20200110,20200110,0,327.5,1.81
164,20200110,20200110,0,328.0,2.31
165,20200110,20200110,0,328.5,2.815
166,20200110,20200110,0,329.0,3.31
167,20200110,20200110,0,329.5,3.8099999999999996
168,20200110,20200110,0,330.0,4.35
169,20200110,20200110,0,330.5,4.84
170,20200110,20200110,0,331.0,5.365
171,20200110,20200110,0,331.5,5.855
172,20200110,20200110,0,332.0,6.365
173,20200110,20200110,0,332.5,6.85
174,20200110,20200110,0,333.0,7.36
175,20200110,20200110,0,334.0,8.36
176,20200110,20200110,0,335.0,9.364999999999998
177,20200110,20200110,0,336.0,10.36
178,20200110,20200110,0,337.0,11.36
179,20200110,20200110,0,337.5,11.91
180,20200110,20200110,0,338.0,12.425
181,20200110,20200110,0,339.0,13.36
182,20200110,20200110,0,340.0,14.425
183,20200110,20200110,0,341.0,15.41
184,20200110,20200110,0,342.0,16.41
185,20200110,20200110,0,342.5,16.91
186,20200110,20200110,0,343.0,17.41
187,20200110,20200110,0,344.0,18.42
188,20200110,20200110,0,345.0,19.415
189,20200110,20200110,0,347.5,21.935000000000002
190,20200110,20200110,0,350.0,24.35
191,20200110,20200110,0,352.5,26.935000000000002
192,20200110,20200110,0,355.0,29.415
193,20200110,20200110,0,357.5,31.935000000000002
194,20200110,20200113,1,265.0,60.7
195,20200110,20200113,1,270.0,55.7
196,20200110,20200113,1,275.0,50.705
197,20200110,20200113,1,280.0,45.705
198,20200110,20200113,1,285.0,40.705
199,20200110,20200113,1,290.0,35.705
200,20200110,20200113,1,292.0,33.705
201,20200110,20200113,1,293.0,32.705
202,20200110,20200113,1,294.0,31.715
203,20200110,20200113,1,295.0,30.715
204,20200110,20200113,1,296.0,29.725
205,20200110,20200113,1,297.0,28.715
206,20200110,20200113,1,298.0,27.715
207,20200110,20200113,1,299.0,26.72
208,20200110,20200113,1,300.0,25.725
209,20200110,20200113,1,301.0,24.715
210,20200110,20200113,1,302.0,23.73
211,20200110,20200113,1,303.0,22.73
212,20200110,20200113,1,304.0,21.715
213,20200110,20200113,1,305.0,20.72
214,20200110,20200113,1,306.0,19.73
215,20200110,20200113,1,307.0,18.725
216,20200110,20200113,1,308.0,17.725
217,20200110,20200113,1,309.0,16.715
218,20200110,20200113,1,310.0,15.73
219,20200110,20200113,1,311.0,14.73
220,20200110,20200113,1,312.0,13.725
221,20200110,20200113,1,313.0,12.73
222,20200110,20200113,1,314.0,11.715
223,20200110,20200113,1,315.0,10.719999999999999
224,20200110,20200113,1,315.5,10.225
225,20200110,20200113,1,316.0,9.725
226,20200110,20200113,1,316.5,9.23
227,20200110,20200113,1,317.0,8.735
228,20200110,20200113,1,317.5,8.23
229,20200110,20200113,1,318.0,7.75
230,20200110,20200113,1,318.5,7.245
231,20200110,20200113,1,319.0,6.74
232,20200110,20200113,1,319.5,6.25
233,20200110,20200113,1,320.0,5.755
234,20200110,20200113,1,320.5,5.255000000000001
235,20200110,20200113,1,321.0,4.77
236,20200110,20200113,1,321.5,4.305
237,20200110,20200113,1,322.0,3.8099999999999996
238,20200110,20200113,1,322.5,3.34
239,20200110,20200113,1,323.0,2.87
240,20200110,20200113,1,323.5,2.42
241,20200110,20200113,1,324.0,1.9899999999999998
242,20200110,20200113,1,324.5,1.5750000000000002
243,20200110,20200113,1,325.0,1.2
244,20200110,20200113,1,325.5,0.865
245,20200110,20200113,1,326.0,0.59
246,20200110,20200113,1,326.5,0.375
247,20200110,20200113,1,327.0,0.235
248,20200110,20200113,1,327.5,0.14
249,20200110,20200113,1,328.0,0.08499999999999999
250,20200110,20200113,1,328.5,0.045
251,20200110,20200113,1,329.0,0.025
252,20200110,20200113,1,329.5,0.015
253,20200110,20200113,1,330.0,0.015
254,20200110,20200113,1,331.0,0.005
255,20200110,20200113,1,332.0,0.005
256,20200110,20200113,1,333.0,0.005
257,20200110,20200113,1,334.0,0.005
258,20200110,20200113,1,335.0,0.005
259,20200110,20200113,1,336.0,0.005
260,20200110,20200113,1,337.0,0.005
261,20200110,20200113,1,338.0,0.005
262,20200110,20200113,1,339.0,0.005
263,20200110,20200113,1,340.0,0.005
264,20200110,20200113,1,341.0,0.005
265,20200110,20200113,1,342.0,0.005
266,20200110,20200113,1,343.0,0.005
267,20200110,20200113,1,344.0,0.005
268,20200110,20200113,1,345.0,0.005
269,20200110,20200113,0,265.0,0.005
270,20200110,20200113,0,270.0,0.005
271,20200110,20200113,0,275.0,0.005
272,20200110,20200113,0,280.0,0.005
273,20200110,20200113,0,285.0,0.005
274,20200110,20200113,0,290.0,0.005
275,20200110,20200113,0,292.0,0.005
276,20200110,20200113,0,293.0,0.005
277,20200110,20200113,0,294.0,0.005
278,20200110,20200113,0,295.0,0.005
279,20200110,20200113,0,296.0,0.005
280,20200110,20200113,0,297.0,0.005
281,20200110,20200113,0,298.0,0.005
282,20200110,20200113,0,299.0,0.005
283,20200110,20200113,0,300.0,0.005
284,20200110,20200113,0,301.0,0.005
285,20200110,20200113,0,302.0,0.005
286,20200110,20200113,0,303.0,0.005
287,20200110,20200113,0,304.0,0.005
288,20200110,20200113,0,305.0,0.005
289,20200110,20200113,0,306.0,0.005
290,20200110,20200113,0,307.0,0.005
291,20200110,20200113,0,308.0,0.005
292,20200110,20200113,0,309.0,0.005
293,20200110,20200113,0,310.0,0.005
294,20200110,20200113,0,311.0,0.005
295,20200110,20200113,0,312.0,0.015
296,20200110,20200113,0,313.0,0.015
297,20200110,20200113,0,314.0,0.015
298,20200110,20200113,0,315.0,0.015
299,20200110,20200113,0,315.5,0.015
300,20200110,20200113,0,316.0,0.015
301,20200110,20200113,0,316.5,0.015
302,20200110,20200113,0,317.0,0.025
303,20200110,20200113,0,317.5,0.025
304,20200110,20200113,0,318.0,0.025
305,20200110,20200113,0,318.5,0.035
306,20200110,20200113,0,319.0,0.035
307,20200110,20200113,0,319.5,0.045
308,20200110,20200113,0,320.0,0.055
309,20200110,20200113,0,320.5,0.065
310,20200110,20200113,0,321.0,0.07500000000000001
311,20200110,20200113,0,321.5,0.08499999999999999
312,20200110,20200113,0,322.0,0.10500000000000001
313,20200110,20200113,0,322.5,0.135
314,20200110,20200113,0,323.0,0.165
315,20200110,20200113,0,323.5,0.215
316,20200110,20200113,0,324.0,0.275
317,20200110,20200113,0,324.5,0.375
318,20200110,20200113,0,325.0,0.495
319,20200110,20200113,0,325.5,0.665
320,20200110,20200113,0,326.0,0.885
321,20200110,20200113,0,326.5,1.1749999999999998
322,20200110,20200113,0,327.0,1.525
323,20200110,20200113,0,327.5,1.93
324,20200110,20200113,0,328.0,2.37
325,20200110,20200113,0,328.5,2.835
326,20200110,20200113,0,329.0,3.32
327,20200110,20200113,0,329.5,3.815
328,20200110,20200113,0,330.0,4.324999999999999
329,20200110,20200113,0,331.0,5.31
330,20200110,20200113,0,332.0,6.3149999999999995
331,20200110,20200113,0,333.0,7.34
332,20200110,20200113,0,334.0,8.315000000000001
333,20200110,20200113,0,335.0,9.315000000000001
334,20200110,20200113,0,336.0,10.315000000000001
335,20200110,20200113,0,337.0,11.305
336,20200110,20200113,0,338.0,12.31
337,20200110,20200113,0,339.0,13.309999999999999
