TradeDate,19/06/2020
24/04/2020,2829.5
27/04/2020,2869
28/04/2020,2867.25
29/04/2020,2941
30/04/2020,2902.5
01/05/2020,2821.75
04/05/2020,2825.25
05/05/2020,2858.25
06/05/2020,2833.5
07/05/2020,2880
08/05/2020,2928.5
11/05/2020,2922.75
12/05/2020,2852.5
13/05/2020,2813
14/05/2020,2847
15/05/2020,2846.5
18/05/2020,2948
19/05/2020,2918.75
20/05/2020,2968.5
21/05/2020,2937
22/05/2020,2953
26/05/2020,2994.5
27/05/2020,3035.5
28/05/2020,3038
29/05/2020,3042
01/06/2020,3054
02/06/2020,3077
03/06/2020,3117.75
04/06/2020,3110.5
05/06/2020,3186.75
08/06/2020,3227.5
09/06/2020,3205.5
10/06/2020,3186
11/06/2020,3010.25
12/06/2020,3034.75
15/06/2020,3073
16/06/2020,3128.75
17/06/2020,3118
18/06/2020,3109
19/06/2020,3161.26
